it, prob 
1, 1.0
2, 0.5555556
3, 0.37142858
4, 0.375
5, 0.37864077
6, 0.28148147
7, 0.25
8, 0.25170067
9, 0.20670392
10, 0.17788461
11, 0.14509805
12, 0.1456693
13, 0.14624506
14, 0.1468254
15, 0.12542373
16, 0.11077844
17, 0.09836066
18, 0.09863014
19, 0.0989011
20, 0.09917355
21, 0.09944751
22, 0.08888889
23, 0.089108914
24, 0.079822615
25, 0.072434604
26, 0.066176474
27, 0.06129597
28, 0.06140351
29, 0.061511423
30, 0.057189543
31, 0.05728314
32, 0.05477308
33, 0.054858934
34, 0.054945055
35, 0.055031445
36, 0.052473765
37, 0.05035971
38, 0.050432276
39, 0.048611112
40, 0.04611331
41, 0.046174143
42, 0.04336735
43, 0.043422733
44, 0.04347826
45, 0.043533932
46, 0.043589745
47, 0.0436457
48, 0.04171779
49, 0.041769043
50, 0.041820418
51, 0.04
52, 0.0378198
53, 0.037861917
54, 0.037904125
55, 0.03794643
56, 0.037988827
57, 0.03671706
58, 0.036756758
59, 0.036796536
60, 0.036836404
61, 0.036876354
62, 0.03508772
63, 0.035123967
64, 0.03516029
65, 0.035196688
66, 0.035233162
67, 0.034068137
68, 0.032913845
69, 0.032945737
70, 0.032977693
71, 0.033009708
72, 0.033041786
73, 0.03307393
74, 0.0322887
75, 0.032319393
76, 0.03235014
77, 0.031481482
78, 0.03151066
79, 0.031539887
80, 0.030330062
81, 0.030357143
82, 0.029084688
83, 0.028356964
84, 0.028380634
85, 0.028404344
86, 0.028428094
87, 0.028451882
88, 0.028475711
89, 0.02849958
90, 0.027891714
91, 0.027914613
92, 0.027937552
93, 0.026984127
94, 0.02700556
95, 0.027027028
96, 0.027048528
97, 0.02643857
98, 0.025993884
99, 0.026013771
100, 0.02603369
101, 0.02605364
102, 0.02607362
103, 0.02609363
104, 0.026113672
105, 0.025110783
106, 0.025129342
107, 0.02514793
108, 0.025166543
109, 0.024566473
110, 0.024584237
111, 0.024602026
112, 0.02461984
113, 0.02463768
114, 0.024113474
115, 0.023529412
116, 0.023545707
117, 0.023562023
118, 0.023578363
119, 0.023594726
120, 0.023611112
121, 0.02312925
122, 0.022742474
123, 0.022020726
124, 0.022034997
125, 0.022049287
126, 0.021383647
127, 0.021397104
128, 0.021410579
129, 0.02142407
130, 0.021437578
131, 0.021026593
132, 0.021039603
133, 0.021052632
134, 0.021065675
135, 0.021078736
136, 0.021091811
137, 0.021104904
138, 0.021118013
139, 0.021131137
140, 0.021144278
141, 0.02006079
142, 0.019760478
143, 0.01977232
144, 0.019366197
145, 0.01914153
146, 0.018846374
147, 0.018394649
148, 0.018404908
149, 0.01841518
150, 0.01842546
151, 0.018151816
152, 0.01764706
153, 0.017656501
154, 0.017665952
155, 0.017395888
156, 0.017405063
157, 0.017414248
158, 0.017423442
159, 0.017133957
160, 0.017142856
161, 0.017151767
162, 0.016811004
163, 0.016819572
164, 0.016458852
165, 0.016467066
166, 0.016475286
167, 0.016483517
168, 0.016491754
169, 0.0165
170, 0.016508253
171, 0.016516516
172, 0.016524788
173, 0.016533066
174, 0.016541352
175, 0.016304348
176, 0.016312407
177, 0.016011644
178, 0.015766842
179, 0.015551367
180, 0.015558699
181, 0.015348837
182, 0.015355979
183, 0.015363129
184, 0.015370284
185, 0.015075377
186, 0.015082267
187, 0.015089164
188, 0.014851485
189, 0.014858172
190, 0.014537445
191, 0.014543852
192, 0.014550265
193, 0.014556683
194, 0.014563107
195, 0.014569537
196, 0.014575971
197, 0.014582412
198, 0.01458886
199, 0.014595312
200, 0.01460177
201, 0.014608234
202, 0.014614703
203, 0.01399213
204, 0.0139982505
205, 0.014004377
206, 0.014010508
207, 0.014016645
208, 0.014022787
209, 0.013769363
210, 0.013775291
211, 0.013496415
212, 0.0132231405
213, 0.01301342
214, 0.013018714
215, 0.0130240135
216, 0.0130293155
217, 0.013034623
218, 0.013039934
219, 0.01304525
220, 0.013050571
221, 0.013055895
222, 0.0130612245
223, 0.013066558
224, 0.012872084
225, 0.012877263
226, 0.012882448
227, 0.012728719
228, 0.0127337845
229, 0.012738854
230, 0.012743927
231, 0.012749004
232, 0.012588513
233, 0.012593467
234, 0.012355212
235, 0.01217656
236, 0.012181195
237, 0.012185834
238, 0.012016523
239, 0.012021037
240, 0.011913626
241, 0.011918063
242, 0.011795061
243, 0.01179941
