method, time, visited, solutions
domain_heuristics, 500, 656, 5
best_first_R2S, 500, 2419, 0
montecarlo, 500, 3613.0, 0.0
montecarloR2S, 500, 2278.0, 2.0
domain_heuristics, 1000, 2296, 24
best_first_R2S, 1000, 7913, 0
montecarlo, 1000, 6385.0, 0.0
montecarloR2S, 1000, 3690.0, 4.0
domain_heuristics, 2000, 4141, 24
best_first_R2S, 2000, 9594, 0
montecarlo, 2000, 10247.0, 0.0
montecarloR2S, 2000, 5713.0, 7.0
domain_heuristics, 5000, 8036, 24
best_first_R2S, 5000, 26732, 0
montecarlo, 5000, 20808.0, 13.0
montecarloR2S, 5000, 10646.0, 15.0
domain_heuristics, 10000, 17671, 24
best_first_R2S, 10000, 41123, 0
montecarlo, 10000, 21321.0, 12.0
montecarloR2S, 10000, 16505.0, 30.0
domain_heuristics, 500, 1517, 21
best_first_R2S, 500, 3690, 0
montecarlo, 500, 4010.0, 0.0
montecarloR2S, 500, 2352.0, 0.0
domain_heuristics, 1000, 2460, 21
best_first_R2S, 1000, 8979, 0
montecarlo, 1000, 6405.0, 0.0
montecarloR2S, 1000, 3575.0, 1.0
domain_heuristics, 2000, 3936, 21
best_first_R2S, 2000, 12423, 0
montecarlo, 2000, 10854.0, 1.0
montecarloR2S, 2000, 5212.0, 3.0
domain_heuristics, 5000, 9430, 21
best_first_R2S, 5000, 25912, 0
montecarlo, 5000, 21658.0, 4.0
montecarloR2S, 5000, 9919.0, 11.0
domain_heuristics, 10000, 13981, 21
best_first_R2S, 10000, 44977, 0
montecarlo, 10000, 22648.0, 5.0
montecarloR2S, 10000, 14255.0, 9.0
domain_heuristics, 500, 1353, 21
best_first_R2S, 500, 5248, 0
montecarlo, 500, 4091.0, 4.0
montecarloR2S, 500, 2342.0, 7.0
domain_heuristics, 1000, 2501, 22
best_first_R2S, 1000, 7790, 0
montecarlo, 1000, 6714.0, 7.0
montecarloR2S, 1000, 3688.0, 12.0
domain_heuristics, 2000, 4346, 22
best_first_R2S, 2000, 12546, 0
montecarlo, 2000, 10655.0, 13.0
montecarloR2S, 2000, 5671.0, 24.0
domain_heuristics, 5000, 10127, 22
best_first_R2S, 5000, 25666, 0
montecarlo, 5000, 23144.0, 34.0
montecarloR2S, 5000, 10192.0, 43.0
domain_heuristics, 10000, 18860, 22
best_first_R2S, 10000, 36982, 0
montecarlo, 10000, 32082.0, 48.0
montecarloR2S, 10000, 14632.0, 82.0
domain_heuristics, 500, 1476, 22
best_first_R2S, 500, 4141, 0
montecarlo, 500, 3958.0, 0.0
montecarloR2S, 500, 2295.0, 2.0
domain_heuristics, 1000, 2460, 22
best_first_R2S, 1000, 8364, 0
montecarlo, 1000, 6386.0, 1.0
montecarloR2S, 1000, 3695.0, 2.0
domain_heuristics, 2000, 4100, 22
best_first_R2S, 2000, 12874, 0
montecarlo, 2000, 10698.0, 2.0
montecarloR2S, 2000, 5553.0, 7.0
domain_heuristics, 5000, 9348, 22
best_first_R2S, 5000, 25830, 0
montecarlo, 5000, 22044.0, 11.0
montecarloR2S, 5000, 9580.0, 10.0
domain_heuristics, 10000, 17753, 22
best_first_R2S, 10000, 37720, 0
montecarlo, 10000, 25418.0, 19.0
montecarloR2S, 10000, 15310.0, 17.0
domain_heuristics, 500, 1271, 17
