method, time, visited, solutions
domain_heuristics, 500, 574, 9
best_first_R2S, 500, 2255, 0
montecarlo, 500, 3436.0, 1.0
montecarloR2S, 500, 2645.0, 9.0
domain_heuristics, 1000, 2460, 51
best_first_R2S, 1000, 8118, 0
montecarlo, 1000, 6016.0, 2.0
montecarloR2S, 1000, 4242.0, 30.0
domain_heuristics, 500, 1394, 18
best_first_R2S, 500, 4920, 0
montecarlo, 500, 3912.0, 0.0
montecarloR2S, 500, 1973.0, 0.0
domain_heuristics, 1000, 2296, 40
best_first_R2S, 1000, 8610, 0
montecarlo, 1000, 6169.0, 1.0
montecarloR2S, 1000, 3161.0, 1.0
domain_heuristics, 500, 1558, 29
best_first_R2S, 500, 4182, 0
montecarlo, 500, 3940.0, 0.0
montecarloR2S, 500, 2427.0, 6.0
domain_heuristics, 1000, 2583, 48
best_first_R2S, 1000, 7872, 0
montecarlo, 1000, 6277.0, 1.0
montecarloR2S, 1000, 3941.0, 13.0
